Group 1,Group 2,H,p-value,q-value
P001 (n=1),P002 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P004 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P005 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P006 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P007 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P008 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P010 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P011 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P012 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P013 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P014 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P015 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P016 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P017 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P018 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P019 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P020 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P021 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P022 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P023 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P024 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P025 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P026 (n=2),0.0,1.0,1.0
P001 (n=1),P027 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P028 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P029 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P030 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P032 (n=2),0.0,1.0,1.0
P001 (n=1),P033 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P034 (n=2),0.0,1.0,1.0
P001 (n=1),P036 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P037 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P039 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P040 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P041 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P042 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P043 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P044 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P045 (n=2),1.5,0.22067136191984324,0.4567993552791573
P001 (n=1),P046 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P047 (n=1),1.0,0.31731050786291115,0.4567993552791573
P001 (n=1),P048 (n=2),1.5,0.22067136191984324,0.4567993552791573
